"","times","sims","name","rank"
"wai bon.21",650,0,"wai bon","genus"
"wai bon.31",1150,0,"wai bon","genus"
"wai bon.41",1650,0.00772517356469649,"wai bon","genus"
"wai bon.51",2150,0.013794108169928,"wai bon","genus"
"wai bon.61",3150,0.00397986815831952,"wai bon","genus"
"wai bon.71",4150,0.00786791809930931,"wai bon","genus"
"fin bon.11",150,0.0534497138286677,"fin bon","genus"
"fin bon.21",650,0.0753551906608164,"fin bon","genus"
"fin bon.31",1150,0.0460448945738855,"fin bon","genus"
"fin bon.41",1650,0.0351441476971723,"fin bon","genus"
"fin bon.51",2150,0.0621163176353814,"fin bon","genus"
"fin bon.61",2650,0.00310716915026577,"fin bon","genus"
"fin bon.71",3150,0,"fin bon","genus"
"fin bon.81",3650,0.0311463879781576,"fin bon","genus"
"fin bon.91",4150,0,"fin bon","genus"
"yac bon.11",150,0.00406768584058015,"yac bon","genus"
"yac bon.21",650,0.00596047736929628,"yac bon","genus"
"yac bon.31",1150,0,"yac bon","genus"
"yac bon.41",1650,0,"yac bon","genus"
"yac bon.51",2150,0.018296489379923,"yac bon","genus"
"yac bon.61",2650,0.0165452418160873,"yac bon","genus"
"yac bon.71",3150,0,"yac bon","genus"
"yac bon.81",3650,0,"yac bon","genus"
"yac bon.91",4150,0,"yac bon","genus"
"vol bon.11",150,0.355022890812692,"vol bon","genus"
"vol bon.21",650,0.684427939824624,"vol bon","genus"
"vol bon.31",1150,0.374812377535397,"vol bon","genus"
"vol bon.41",2650,0.0221111101207997,"vol bon","genus"
"vol bon.51",3650,0.00545954247655966,"vol bon","genus"
"vol bon.61",4150,0.0393135037759343,"vol bon","genus"
"tuk bon.11",150,0.00247936047820074,"tuk bon","genus"
"tuk bon.21",650,0.0132551057176338,"tuk bon","genus"
"tuk bon.31",1150,0.0313979109721741,"tuk bon","genus"
"tuk bon.41",2150,0.0414344640052552,"tuk bon","genus"
"tuk bon.51",3150,0.0587823652904123,"tuk bon","genus"
"tuk bon.61",3650,0.00787699298082778,"tuk bon","genus"
"tuk bon.71",4150,0.0111063120873696,"tuk bon","genus"
"aro bon.11",150,0,"aro bon","genus"
"aro bon.21",650,0,"aro bon","genus"
"aro bon.31",1150,0.0162191245243125,"aro bon","genus"
"aro bon.41",1650,0,"aro bon","genus"
"aro bon.51",2650,0,"aro bon","genus"
"aro bon.61",3150,0,"aro bon","genus"
"lot bon.11",150,0.0031387049360736,"lot bon","genus"
"lot bon.21",650,0.0689712826352733,"lot bon","genus"
"lot bon.31",1150,0,"lot bon","genus"
"lot bon.41",1650,0,"lot bon","genus"
"lot bon.51",2150,0.00937616749724868,"lot bon","genus"
"lot bon.61",2650,0,"lot bon","genus"
"lot bon.71",3150,0.0516655006363481,"lot bon","genus"
"lot bon.8",3650,0.0101876978794737,"lot bon","genus"
"lot bon.9",4150,0.0114942528735633,"lot bon","genus"
"lan bon.11",650,0.327479532482895,"lan bon","genus"
"lan bon.21",1150,0.313129740971279,"lan bon","genus"
"lan bon.31",1650,0.0666950710618833,"lan bon","genus"
"lan bon.41",2650,0.0274015792742549,"lan bon","genus"
"lan bon.51",3150,0.0916107376865039,"lan bon","genus"
