,times,sims,name,group,type,order
3551,3650,0.10712087,ano tuk,neither,Standardisation 2,neither (Stand. 2)
3561,4150,0.1,ano tuk,neither,Standardisation 2,neither (Stand. 2)
3641,4150,0.008235294,ava yac,neither,Standardisation 2,neither (Stand. 2)
3721,3650,0.037462573,plu yac,neither,Standardisation 2,neither (Stand. 2)
3731,4150,0,plu yac,neither,Standardisation 2,neither (Stand. 2)
3811,3650,0.496597403,lot yac,neither,Standardisation 2,neither (Stand. 2)
3821,4150,0.302244736,lot yac,neither,Standardisation 2,neither (Stand. 2)
3901,3650,0.010075567,fin yac,neither,Standardisation 2,neither (Stand. 2)
3911,4150,0.033030311,fin yac,neither,Standardisation 2,neither (Stand. 2)
3981,3650,0.387810545,vol yac,neither,Standardisation 2,neither (Stand. 2)
3991,4150,0.335193616,vol yac,neither,Standardisation 2,neither (Stand. 2)
4071,3650,0.012765008,bon yac,neither,Standardisation 2,neither (Stand. 2)
4081,4150,0.004824749,bon yac,neither,Standardisation 2,neither (Stand. 2)
4161,3650,0.002518892,tag yac,neither,Standardisation 2,neither (Stand. 2)
4171,4150,0.004187727,tag yac,neither,Standardisation 2,neither (Stand. 2)
4241,3650,0.014890662,lou yac,neither,Standardisation 2,neither (Stand. 2)
4251,4150,0.006982463,lou yac,neither,Standardisation 2,neither (Stand. 2)
4311,3650,0.012396694,lan yac,neither,Standardisation 2,neither (Stand. 2)
4321,4150,0.028499979,lan yac,neither,Standardisation 2,neither (Stand. 2)
4371,3650,0.019127656,ano yac,neither,Standardisation 2,neither (Stand. 2)
4381,4150,0.002352941,ano yac,neither,Standardisation 2,neither (Stand. 2)
4461,4150,0.101947936,plu ava,neither,Standardisation 2,neither (Stand. 2)
4471,4650,0.148148148,plu ava,neither,Standardisation 2,neither (Stand. 2)
4551,4150,0.09188956,lot ava,neither,Standardisation 2,neither (Stand. 2)
4561,4650,0.055584239,lot ava,neither,Standardisation 2,neither (Stand. 2)
4641,4150,0.01287029,fin ava,neither,Standardisation 2,neither (Stand. 2)
4651,4650,0.088605373,fin ava,neither,Standardisation 2,neither (Stand. 2)
