"","times","sims","name","rank"
"bon vol.71",3650,0.0207618779840345,"bon vol","genus"
"bon vol.81",4150,0.0479345302198451,"bon vol","genus"
"tag vol.11",150,0.026543228716927,"tag vol","genus"
"tag vol.21",650,0.0241736778232248,"tag vol","genus"
"tag vol.31",1150,0.00663666015274789,"tag vol","genus"
"tag vol.41",2150,0.53288237640345,"tag vol","genus"
"tag vol.51",2650,0.658730913657596,"tag vol","genus"
"tag vol.61",3150,0.528810189817357,"tag vol","genus"
"tag vol.71",3650,0.134469105678136,"tag vol","genus"
"tag vol.81",4150,0.0564252145560429,"tag vol","genus"
"tag vol.91",4650,0.0874570822699843,"tag vol","genus"
"lou vol.11",650,0,"lou vol","genus"
"lou vol.21",1150,0,"lou vol","genus"
"lou vol.31",2150,0.00500046811407617,"lou vol","genus"
"lou vol.41",2650,0.00965067878934167,"lou vol","genus"
"lou vol.51",3150,0.00827558120006189,"lou vol","genus"
"lou vol.61",3650,0.0202975206651438,"lou vol","genus"
"lou vol.71",4150,0.0423189783716847,"lou vol","genus"
"lou vol.81",4650,0.0297667873844529,"lou vol","genus"
"lan vol.11",650,0.402473063002877,"lan vol","genus"
"lan vol.21",1150,0.36914036555956,"lan vol","genus"
"lan vol.31",2650,0.5326330039675,"lan vol","genus"
"lan vol.41",3150,0.370611584454552,"lan vol","genus"
"lan vol.51",3650,0.149183828972257,"lan vol","genus"
"lan vol.61",4150,0.0586613916008043,"lan vol","genus"
"lan vol.71",4650,0.113703050830769,"lan vol","genus"
"ano vol.11",2150,0.0364400840925018,"ano vol","genus"
"ano vol.21",2650,0.00808266360505172,"ano vol","genus"
"ano vol.31",3150,0.0183068129151861,"ano vol","genus"
"ano vol.41",3650,0.00979011589274437,"ano vol","genus"
"ano vol.51",4150,0,"ano vol","genus"
"ano vol.61",4650,0,"ano vol","genus"
"tag bon.11",150,0.136039306750926,"tag bon","genus"
"tag bon.21",650,0.0859462536930905,"tag bon","genus"
"tag bon.31",1150,0.126182111975522,"tag bon","genus"
"tag bon.41",1650,0.0542354305331668,"tag bon","genus"
"tag bon.51",2150,0.11890161859619,"tag bon","genus"
"tag bon.61",2650,0.0744027649704135,"tag bon","genus"
"tag bon.71",3150,0.16769399422926,"tag bon","genus"
"tag bon.81",3650,0.189854784974712,"tag bon","genus"
"tag bon.91",4150,0.283918432011907,"tag bon","genus"
"lou bon.11",650,0,"lou bon","genus"
"lou bon.21",1150,0.00687245431603323,"lou bon","genus"
"lou bon.31",1650,0,"lou bon","genus"
"lou bon.41",2150,0.0254586503911903,"lou bon","genus"
"lou bon.51",2650,0.048894005487632,"lou bon","genus"
"lou bon.61",3150,0.07131046085895,"lou bon","genus"
"lou bon.71",3650,0.102932650232253,"lou bon","genus"
"lou bon.81",4150,0.148244515793297,"lou bon","genus"
"lan bon.11",650,0.452493112005836,"lan bon","genus"
"lan bon.21",1150,0.160831223413176,"lan bon","genus"
"lan bon.31",1650,0.0261097810931564,"lan bon","genus"
"lan bon.41",2650,0.0212133856721843,"lan bon","genus"
"lan bon.51",3150,0.0860523773722269,"lan bon","genus"
"lan bon.61",3650,0.00943698941402371,"lan bon","genus"
"lan bon.71",4150,0.0227108079687653,"lan bon","genus"
"ano bon.11",1650,0.0272479453781586,"ano bon","genus"
"ano bon.21",2150,0.0614281619421427,"ano bon","genus"
"ano bon.31",2650,0.0139990456841148,"ano bon","genus"
"ano bon.41",3150,0.0759912599242044,"ano bon","genus"
"ano bon.51",3650,0.0887158363451135,"ano bon","genus"
"ano bon.61",4150,0.0719165767709458,"ano bon","genus"
"lou tag.11",650,0.01379580468274,"lou tag","genus"
"lou tag.21",1150,0.00473532249167485,"lou tag","genus"
"lou tag.31",1650,0.00217617711128237,"lou tag","genus"
"lou tag.41",2150,0.0126424457113508,"lou tag","genus"
"lou tag.51",2650,0.0326147855731164,"lou tag","genus"
"lou tag.61",3150,0.0388447414414606,"lou tag","genus"
"lou tag.71",3650,0.0519758819664647,"lou tag","genus"
"lou tag.81",4150,0.062051786172906,"lou tag","genus"
"lou tag.91",4650,0.0593211648247873,"lou tag","genus"
"lan tag.11",650,0.0388987242912986,"lan tag","genus"
"lan tag.21",1150,0.00980683352274092,"lan tag","genus"
"lan tag.31",1650,0.32393517419971,"lan tag","genus"
"lan tag.41",2650,0.402112942901869,"lan tag","genus"
"lan tag.51",3150,0.184014884357292,"lan tag","genus"
"lan tag.61",3650,0.219104491113185,"lan tag","genus"
"lan tag.71",4150,0.293808525996268,"lan tag","genus"
"lan tag.81",4650,0.245147273810635,"lan tag","genus"
"ano tag.11",1650,0.110542961907633,"ano tag","genus"
"ano tag.21",2150,0.10078237367342,"ano tag","genus"
"ano tag.31",2650,0.0892250632848923,"ano tag","genus"
"ano tag.41",3150,0.0756754678047415,"ano tag","genus"
"ano tag.51",3650,0.0805046446169829,"ano tag","genus"
"ano tag.61",4150,0.0385619813110734,"ano tag","genus"
"ano tag.71",4650,0.0775753827701883,"ano tag","genus"
"lan lou.11",650,0,"lan lou","genus"
"lan lou.21",1150,0,"lan lou","genus"
"lan lou.31",1650,0,"lan lou","genus"
"lan lou.41",2650,0,"lan lou","genus"
"lan lou.51",3150,0,"lan lou","genus"
"lan lou.61",3650,0.00262933066976734,"lan lou","genus"
"lan lou.71",4150,0.0250361483067963,"lan lou","genus"
"lan lou.81",4650,0.0164887319244915,"lan lou","genus"
"ano lou.11",1650,0,"ano lou","genus"
"ano lou.21",2150,0.00716527114272725,"ano lou","genus"
"ano lou.31",2650,0.0229500601495266,"ano lou","genus"
"ano lou.41",3150,0.028050571369074,"ano lou","genus"
"ano lou.51",3650,0.084807151682912,"ano lou","genus"
"ano lou.61",4150,0.155079527588597,"ano lou","genus"
"ano lou.71",4650,0.182028607745078,"ano lou","genus"
"ano lan.11",1650,0.0334066564774399,"ano lan","genus"
"ano lan.21",2650,0.0105466069160115,"ano lan","genus"
"ano lan.31",3150,0.0180949902605162,"ano lan","genus"
"ano lan.41",3650,0,"ano lan","genus"
"ano lan.51",4150,0.00233265887283729,"ano lan","genus"
"ano lan.61",4650,0,"ano lan","genus"
"tuk wai.12",150,0.0025718389794861,"tuk wai","species"
"tuk wai.22",650,0.00444175469686237,"tuk wai","species"
"tuk wai.32",1150,0,"tuk wai","species"
"tuk wai.42",2150,0,"tuk wai","species"
"tuk wai.52",3150,0,"tuk wai","species"
"tuk wai.62",4150,0,"tuk wai","species"
"yac wai.12",150,0,"yac wai","species"
"yac wai.22",650,0,"yac wai","species"
"yac wai.32",1150,0,"yac wai","species"
"yac wai.42",2150,0,"yac wai","species"
"yac wai.52",4150,0,"yac wai","species"
"plu wai.12",150,0.413117640472172,"plu wai","species"
"plu wai.22",650,0.198024557859645,"plu wai","species"
"plu wai.32",1150,0.333838279144301,"plu wai","species"
