original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
GOODENIACEAE,Goodeniaceae,,Goodeniaceae,
Gramineae,Poaceae,synonym,Poaceae,synonym
Grevillea Type,Grevillea,removed notation,Proteaceae,aggregated up
Grewia,Grewia,,Grewia,
Guettarda,Guettarda,,Guettarda,
Guioa,Guioa,,Guioa,
Gunneraceae undif.,Gunneraceae,removed notation,Gunneraceae,removed notation
GUTTIFERAE,Clusiaceae,synonym,Clusiaceae,synonym
Gymnosporia,Gymnosporia,,Gymnosporia,
Gymnostoma,Gymnostoma,,Gymnostoma,
Haloragaceae,Haloragaceae,,Haloragaceae,
Haloragis,Haloragis,,Haloragis,
Haloragis sim.,Haloragis,removed notation,Haloragaceae,aggregated up
Hedycarya,Hedycarya,,Hedycarya,
Hedycarya Type,Hedycarya,removed notation,Monimiaceae,aggregated up
Hedycarya</i> Type,Hedycarya,removed notation,Monimiaceae,aggregated up
Heritiera,Heritiera,,Heritiera,
Hernandia,Hernandia,,Hernandia,
Hibbertia,Hibbertia,,Hibbertia,
Hibbertia Type,Hibbertia,removed notation,Dilleniaceae,aggregated up
Hibiscus,Hibiscus,,Hibiscus,
Histiopteris incisa,Histiopteris incisa,,Histiopteris incisa,
Homalanthus,Homalanthus,,Homalanthus,
Homalanthus cf. H. stokesii,Homalanthus stokesii,removed notation,Homalanthus,aggregated up
Homalanthus Type,Homalanthus,removed notation,Euphorbiaceae,aggregated up
Homalanthus/Exocaria,Euphorbiaceae,spelling and aggregated up,Euphorbiaceae,aggregated up
Homalanthus/Exocoaria,Euphorbiaceae,aggregated up,Euphorbiaceae,aggregated up
Homalium,Homalium,,Homalium,
Hymenophyllaceae,Hymenophyllaceae,,Hymenophyllaceae,
Hymenophyllum,Hymenophyllum,,Hymenophyllum,
Hypolepis,Hypolepis,,Hypolepis,
Ilex,Ilex,,Ilex,
Indet,remove,uncertain type,remove,uncertain type
Indeterminant,remove,not pollen/spore,remove,not pollen/spore
Indeterminate 3C3P,remove,uncertain type,remove,uncertain type
Indeterminate Other,remove,uncertain type,remove,uncertain type
Inocarpus </i>3C?,Inocarpus,removed notation,Fabaceae,aggregated up
Ipomea- cultivated,Ipomoea,spelling and removed notation,Ipomoea,spelling
Ipomea- wild,Ipomoea,removed notation,Ipomoea,removed notation
Ipomoea,Ipomoea,,Ipomoea,
Ipomoea cf. batatas,Ipomoea batatas,removed notation,Ipomoea,aggregated up
Ixora,Ixora,,Ixora,
Ixora?,Ixora,removed notation,Rubiaceae,aggregated up
Jasminum,Jasminum,,Jasminum,
Joinvillea,Joinvillea,,Joinvillea,
Juncus,Juncus,,Juncus,
Kermadecia/Stenocarpus,Proteaceae,aggregated up,Proteaceae,aggregated up
Knightia,Knightia,,Knightia,
Labiateae Type,Lamiaceae,synonym and removed notation,Lamiaceae,synonym
Lauraceae,Lauraceae,,Lauraceae,
Laurelia,Laurelia,,Laurelia,
Leea,Leea,,Leea,
Legumes,Fabaceae,synonym,Fabaceae,synonym
LEGUMINOSAE,Fabaceae,synonym,Fabaceae,synonym
Leguminosae,Fabaceae,synonym,Fabaceae,synonym
Lepironia comp.,Lepironia,removed notation,Cyperaceae,aggregated up
Leptospermum,Leptospermum,,Leptospermum,
Leucas comp.,Leucas,removed notation,Lamiaceae,aggregated up
Libocedrus,Libocedrus,,Libocedrus,
Liliaceae,Liliaceae,,Liliaceae,
LILIACEAE Type,Liliaceae,removed notation,remove,uncertainty greater than family level
Limnanthemum,Nymphoides,synonym,Nymphoides,synonym
Longetia buxoides Type,Longetia buxoides,removed notation,Longetia,aggregated up
Lonicera Type?,Lonicera,removed notation,Caprifoliaceae,aggregated up
Lonicera</i> Type?,Lonicera,removed notation,Caprifoliaceae,aggregated up
Loranthaceae,Loranthaceae,,Loranthaceae,
LORANTHACEAE ?,Loranthaceae,removed notation,remove,uncertain type
Lorantheceae,Loranthaceae,spelling,Loranthaceae,spelling
Loranthus insularum,Decaisnina forsteriana,synonym,Decaisnina forsteriana,synonym
Ludwigia,Ludwigia,,Ludwigia,
Lumnitzera,Lumnitzera,,Lumnitzera,
Lycopodiaceae,Lycopodiaceae,,Lycopodiaceae,
Lycopodiella cernua,Lycopodiella cernua,,Lycopodiella cernua,
Lycopodiella cernua var. cernua-type,Lycopodiella cernua,removed notation,Lycopodiella,aggregated up
Lycopodiella lateralis,Lycopodiella lateralis,,Lycopodiella lateralis,
Lycopodium,Lycopodium,,Lycopodium,
Lycopodium- foveolate,Lycopodium,removed notation,Lycopodium,removed notation
Lycopodium- reticulate,Lycopodium,removed notation,Lycopodium,removed notation
Lycopodium scariosum,Lycopodium scariosum,,Lycopodium scariosum,
Lygodium,Lygodium,,Lygodium,
Lythrum,Lythrum,,Lythrum,
Macaranga,Macaranga,,Macaranga,
Macaranga comp.,Macaranga,removed notation,Euphorbiaceae,aggregated up
Macaranga/Mallotus,Euphorbiaceae,aggregated up,Euphorbiaceae,aggregated up
Machaerina,Lepidosperma,synonym,Lepidosperma,synonym
Maesa,Maesa,,Maesa,
Maesa sim.,Maesa,removed notation,Primulaceae,aggregated up
Mallotus,Mallotus,,Mallotus,
Mallotus comp.,Mallotus,removed notation,Euphorbiaceae,aggregated up
MALPIGHIACEAE,Malpighiaceae,,Malpighiaceae,
